SR,PID,PNAME,PKID,PKNAME,PKDESC,PKFEATURE,PKTHEME,PKTYPE,KPI_PRO,PKSUBNAME,PKSUBTYPE,PKSUBDESC,PKSUBTHEME,PKSUBFEATURE,GRI,SASB,SGAMAPID1,SGAMAPID2,SGAMAPID3,SGAMAPID4,SGAMAPID5
1,P2,Project2,100,Anti-bribery/corruption statement or policy,"Does the firm state specific components in their anti-bribery and/or corruption statement or policy? 1. No 2. Yes, policy without components 3. Yes, policy with components",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,P2,Project2,300,Supplier bribery/corruption inspections or audits,Does the firm inspect or audit its suppliers or sourcing partners on bribery and/or corruption?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,P2,Project2,310,Operations in low ranking TICP Index countries,"Are the firm's operations linked to business activities in countries within the 20 lowest rankings in Transparency International�s Corruption Perception (TICP) Index? 1.No 2. Yes, but discloses specialised due dilligence processes 3.Yes, but no evidence of specialised due dilligence processes",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,P2,Project2,320,Operation links to Transparency International�s Government Defence Anti-Corruption Index,"Are the firm's operations linked to business activities in countries ranked in the ""E"" or ""F"" Band of Transparency International�s Government Defence Anti-Corruption Index? 1.No 2. Yes, but discloses specialised due dilligence processes 3.Yes, but no evidence of specialised due dilligence processes",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,P2,Project2,,Bribery/corruption monitoring,"Does the firm monitor the prevention of bribery and/or corruption within its operations? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,P2,Project2,600,Bribery/corruption related lawsuits,"Has the firm been involved in any bribery and/or corruption related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,P2,Project2,610,Restrictions on gifts,"Does the firm restrict its management or directors from exchanging gifts/entertainment/facilitation payments? 1.No, 2.Yes, allows gifts under threshold, 3. Yes, complete restriction",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,P2,Project2,700,Anti-bribery/corruption training,"Does the firm provide its employees with training on anti-bribery and/or corruption?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,P2,Project2,710,Anti-money laundering statement or policy,"Does the firm have an anti-money laundering statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,P2,Project2,720,Money laundering monitoring,"Does the firm monitor the prevention of money laundering within its operations? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,P2,Project2,730,Anti-money laundering training,"Does the firm provide its employees with training on anti-money laundering?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,P2,Project2,740,Money laundering related lawsuits,"Has the firm been involved in any money laundering related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,P2,Project2,750,Tax-evasion statement or policy,"Does the firm have an anti-tax evasion statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,P2,Project2,760,Tax related lawsuits,"Has the firm been involved in any tax related lawsuits or offenses investigated by a judicial/regulatory process? 1. No 2. Yes, reported externally (NGO,  judicial/regulatory body) 3. Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,P2,Project2,780,Country specific tax disclosure,"Does the firm report its tax paid on a country by country basis? 1.No 2.Yes, by regions 3.Yes, some countries 4.Yes, fully",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,P2,Project2,790,Board oversight of tax policy,Does the board have oversight of the firm's tax strategy?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,P2,Project2,770,Whistleblowing statement or policy,"Does the firm have a statement or policy to allow for whisteblowing? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,P2,Project2,200,Whistleblowing support functions,"Does the company provide employees with access to an independent, external and confidential whistleblowing hotline and support function? 1.No  2.Yes for some employees 3.Yes for all employees",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,P2,Project2,800,Fair competition statement or policy,"Does the firm have a statement or policy on anti-competitive behavior? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,P2,Project2,500,Competition related lawsuits,"Has the firm been involved in any anti-competitive behavior related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,P2,Project2,900,IP related lawsuits,"Has the firm been involved in any IP related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,P2,Project2,910,Political involvement statement or policy,"Does the firm have a statement or policy on political engagement and/or lobbying? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,P2,Project2,920,Political contribution disclosure,"Does the company report publicly on all contributions made directly or indirectly on political parties, politicians in office and/or political candidates as well as lobbying contributions made directly or indirectly by the company, its employees and representatives? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,P2,Project2,1020,Government lobbying,"Does the firm lobby against public policies (directly or indirectly) on sustainability issues? 1.No 2.Yes, indirectly 3.Yes, directly 4.Yes, both",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
